Absolute Time,x_in,y_in,x_hat,y_hat
3573172444.600002,10.182639,1.914406,10.182820,1.906770
3573172444.610017,10.181540,1.914881,10.181799,1.907236
3573172444.620018,10.180440,1.915357,10.180777,1.907702
3573172444.630017,10.179339,1.915832,10.179753,1.908168
3573172444.640017,10.178238,1.916308,10.178730,1.908634
3573172444.650017,10.177136,1.916783,10.177705,1.909100
3573172444.660018,10.176033,1.917259,10.176679,1.909567
3573172444.670018,10.174929,1.917735,10.175653,1.910034
3573172444.680017,10.173825,1.918211,10.174626,1.910501
3573172444.690002,10.172719,1.918687,10.173598,1.910968
3573172444.700018,10.171613,1.919164,10.172569,1.911435
3573172444.710018,10.170507,1.919640,10.171539,1.911903
3573172444.720019,10.169399,1.920117,10.170508,1.912370
3573172444.730020,10.168291,1.920593,10.169477,1.912838
3573172444.740021,10.167182,1.921070,10.168445,1.913306
3573172444.750020,10.166072,1.921547,10.167412,1.913774
3573172444.760021,10.164962,1.922024,10.166378,1.914243
3573172444.770020,10.163851,1.922502,10.165343,1.914711
3573172444.780021,10.162739,1.922979,10.164308,1.915180
3573172444.790003,10.161626,1.923457,10.163272,1.915649
3573172444.800022,10.160513,1.923934,10.162234,1.916118
3573172444.810021,10.159398,1.924412,10.161197,1.916587
3573172444.820022,10.158283,1.924890,10.160158,1.917056
3573172444.830022,10.157168,1.925368,10.159118,1.917526
3573172444.840023,10.156051,1.925846,10.158078,1.917996
3573172444.850023,10.154934,1.926325,10.157037,1.918465
3573172444.860024,10.153817,1.926803,10.155995,1.918935
3573172444.870024,10.152698,1.927282,10.154952,1.919406
3573172444.880023,10.151579,1.927760,10.153908,1.919876
3573172444.890019,10.150459,1.928239,10.152864,1.920347
3573172444.900024,10.149338,1.928718,10.151819,1.920817
3573172444.910025,10.148216,1.929197,10.150773,1.921288
3573172444.920026,10.147094,1.929676,10.149726,1.921759
3573172444.930026,10.145971,1.930156,10.148678,1.922230
3573172444.940025,10.144848,1.930635,10.147630,1.922702
3573172444.950026,10.143723,1.931115,10.146581,1.923173
3573172444.960026,10.142598,1.931594,10.145531,1.923645
3573172444.970026,10.141472,1.932074,10.144480,1.924117
3573172444.980026,10.140346,1.932554,10.143428,1.924589
3573172444.990022,10.139219,1.933034,10.142376,1.925061
3573172445.000026,10.138091,1.933515,10.141323,1.925533
3573172445.010027,10.136962,1.933995,10.140269,1.926006
3573172445.020027,10.135833,1.934475,10.139214,1.926478
3573172445.030028,10.134703,1.934956,10.138158,1.926951
3573172445.040027,10.133572,1.935437,10.137102,1.927424
3573172445.050027,10.132440,1.935917,10.136045,1.927897
3573172445.060029,10.131308,1.936398,10.134987,1.928370
3573172445.070027,10.130175,1.936879,10.133928,1.928844
3573172445.080028,10.129042,1.937361,10.132869,1.929317
3573172445.090025,10.127907,1.937842,10.131808,1.929791
3573172445.100030,10.126772,1.938323,10.130747,1.930265
3573172445.110031,10.125637,1.938805,10.129686,1.930739
3573172445.120029,10.124500,1.939287,10.128623,1.931213
3573172445.130030,10.123363,1.939768,10.127560,1.931688
3573172445.140029,10.122226,1.940250,10.126496,1.932162
3573172445.150031,10.121087,1.940732,10.125431,1.932637
3573172445.160032,10.119948,1.941215,10.124365,1.933112
3573172445.170031,10.118808,1.941697,10.123299,1.933587
3573172445.180031,10.117668,1.942179,10.122231,1.934062
3573172445.190027,10.116526,1.942662,10.121163,1.934537
3573172445.200032,10.115385,1.943144,10.120095,1.935013
3573172445.210033,10.114242,1.943627,10.119025,1.935489
3573172445.220033,10.113099,1.944110,10.117955,1.935964
3573172445.230033,10.111955,1.944593,10.116884,1.936440
3573172445.240033,10.110810,1.945076,10.115812,1.936916
3573172445.250034,10.109665,1.945559,10.114739,1.937393
3573172445.260034,10.108519,1.946043,10.113666,1.937869
3573172445.270034,10.107372,1.946526,10.112592,1.938346
3573172445.280034,10.106225,1.947010,10.111517,1.938822
3573172445.290030,10.105077,1.947493,10.110442,1.939299
3573172445.300035,10.103928,1.947977,10.109365,1.939776
3573172445.310035,10.102779,1.948461,10.108288,1.940253
3573172445.320035,10.101629,1.948945,10.107210,1.940731
