PosXRight,PosYRight,Absolute Time
1.000000,-0.257759,3568884933.926929
1.000000,-0.216529,3568884933.936930
1.000000,-0.195898,3568884933.946930
1.000000,-0.164983,3568884933.956930
1.000000,-0.134037,3568884933.966930
1.000000,-0.134037,3568884933.976932
1.000000,-0.082492,3568884933.986929
1.000000,-0.082492,3568884933.996932
1.000000,-0.051576,3568884934.006932
1.000000,-0.041261,3568884934.016932
1.000000,-0.020631,3568884934.026932
1.000000,0.000000,3568884934.036934
1.000000,0.000000,3568884934.046934
1.000000,0.000000,3568884934.056934
1.000000,0.000000,3568884934.066934
1.000000,0.000000,3568884934.076934
1.000000,0.000000,3568884934.086934
1.000000,0.000000,3568884934.096935
1.000000,0.000000,3568884934.106935
1.000000,0.000000,3568884934.116935
1.000000,0.000000,3568884934.126936
1.000000,0.000000,3568884934.136936
1.000000,0.000000,3568884934.146936
1.000000,0.000000,3568884934.156937
1.000000,0.000000,3568884934.166937
1.000000,0.000000,3568884934.176938
1.000000,0.000000,3568884934.186937
1.000000,0.000000,3568884934.196938
1.000000,0.010285,3568884934.206938
1.000000,0.020600,3568884934.216939
1.000000,0.041231,3568884934.226940
1.000000,0.061831,3568884934.236939
1.000000,0.072146,3568884934.246939
1.000000,0.082461,3568884934.256939
1.000000,0.103092,3568884934.266940
1.000000,0.103092,3568884934.276939
1.000000,0.103092,3568884934.286940
1.000000,0.113376,3568884934.296941
1.000000,0.144322,3568884934.306941
1.000000,0.175237,3568884934.316941
1.000000,0.195868,3568884934.326943
1.000000,0.206183,3568884934.336942
1.000000,0.226783,3568884934.346942
1.000000,0.226783,3568884934.356943
1.000000,0.237098,3568884934.366944
1.000000,0.247414,3568884934.376944
1.000000,0.257729,3568884934.386943
1.000000,0.268044,3568884934.396945
1.000000,0.278329,3568884934.406945
1.000000,0.288644,3568884934.416945
1.000000,0.298959,3568884934.426945
1.000000,0.298959,3568884934.436945
1.000000,0.319590,3568884934.446946
1.000000,0.319590,3568884934.456948
1.000000,0.350505,3568884934.466947
1.000000,0.350505,3568884934.476946
1.000000,0.371136,3568884934.486946
1.000000,0.371136,3568884934.496947
1.000000,0.381451,3568884934.506948
1.000000,0.381451,3568884934.516949
1.000000,0.402051,3568884934.526948
1.000000,0.412366,3568884934.536950
1.000000,0.412366,3568884934.546949
1.000000,0.432997,3568884934.556949
1.000000,0.453597,3568884934.566950
1.000000,0.474227,3568884934.576950
1.000000,0.505142,3568884934.586949
1.000000,0.515458,3568884934.596951
1.000000,0.536088,3568884934.606951
1.000000,0.546403,3568884934.616951
1.000000,0.567003,3568884934.626952
1.000000,0.587634,3568884934.636952
1.000000,0.618549,3568884934.646953
1.000000,0.649495,3568884934.656952
1.000000,0.659810,3568884934.666953
1.000000,0.659810,3568884934.676953
1.000000,0.670095,3568884934.686953
1.000000,0.701041,3568884934.696954
1.000000,0.721671,3568884934.706954
1.000000,0.752586,3568884934.716955
1.000000,0.773217,3568884934.726955
1.000000,0.773217,3568884934.736955
1.000000,0.783502,3568884934.746954
1.000000,0.793817,3568884934.756956
1.000000,0.804132,3568884934.766955
1.000000,0.814447,3568884934.776957
1.000000,0.835047,3568884934.786955
1.000000,0.845363,3568884934.796958
1.000000,0.845363,3568884934.806957
1.000000,0.865993,3568884934.816958
1.000000,0.865993,3568884934.826958
1.000000,0.865993,3568884934.836959
1.000000,0.865993,3568884934.846959
1.000000,0.865993,3568884934.856958
1.000000,0.865993,3568884934.866959
1.000000,0.865993,3568884934.876959
1.000000,0.896908,3568884934.886959
1.000000,0.917539,3568884934.896960
1.000000,0.927854,3568884934.906960
1.000000,0.927854,3568884934.916961
1.000000,0.948454,3568884934.926960
1.000000,0.958769,3568884934.936961
1.000000,0.958769,3568884934.946962
1.000000,0.989715,3568884934.956963
1.000000,0.989715,3568884934.966962
1.000000,1.000000,3568884934.976963
1.000000,1.000000,3568884934.986962
1.000000,1.000000,3568884934.996964
1.000000,1.000000,3568884935.006963
1.000000,1.000000,3568884935.016964
1.000000,1.000000,3568884935.026964
1.000000,1.000000,3568884935.036965
1.000000,1.000000,3568884935.046965
1.000000,1.000000,3568884935.056965
