PosXRight,PosYRight,Absolute Time,alpha_VSP1,alpha_VSP2,omega_VSP1,omega_VSP2,u_BT,u_VSP1,u_VSP2
0.000000,0.000000,3568887323.417352,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.427357,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.437357,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.447356,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.457358,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.467358,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.477358,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.487358,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.497360,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.507359,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.517354,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.527360,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.537360,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.547359,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.557361,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.567362,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.577362,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.587361,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.597362,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.607362,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.617359,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.627363,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.637364,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.647363,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.657363,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.667364,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.677365,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.687365,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.697364,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.707365,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.717360,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.727365,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.737368,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.747365,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.757367,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.767368,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.777368,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.787367,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.797368,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.807369,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.817364,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.827369,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.837369,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.847368,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.857370,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.867370,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.877370,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.887370,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.897371,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.907371,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.917367,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.927371,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.937371,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.947372,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.957373,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.967373,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.977374,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.987373,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887323.997374,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.007373,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.017370,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.027376,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.037375,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.047374,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.057376,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.067379,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.077379,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.087377,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.097377,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.107378,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.117373,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.127378,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.137379,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.147377,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.157379,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.167378,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.177378,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.187379,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.197381,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.207380,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.217377,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.227381,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.237381,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.247381,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.257382,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.267383,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.277383,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.287382,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.297383,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.307384,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.317379,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.327384,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.337385,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.347385,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.357385,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.367385,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.377385,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.387385,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.397387,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.407386,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.417383,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.427387,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.437387,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.447387,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.457388,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.467388,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.477388,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.487388,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.497389,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.507389,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.517386,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.527390,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.537391,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.547390,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.557390,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.567391,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.577391,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.587393,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.597392,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.607392,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.617389,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.627393,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.637393,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.647393,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.657393,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.667394,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.677395,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.687395,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.697395,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.707396,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.717391,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.727396,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
0.000000,0.000000,3568887324.737395,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000
