Absolute Time,x_in,y_in
3573107338.681763,4.533632,-26.643384
3573107338.691763,4.534332,-26.643926
3573107338.701764,4.535032,-26.644467
3573107338.711764,4.535732,-26.645008
3573107338.721763,4.536433,-26.645549
3573107338.731764,4.537134,-26.646090
3573107338.741764,4.537835,-26.646630
3573107338.751765,4.538536,-26.647171
3573107338.761765,4.539237,-26.647711
3573107338.771765,4.539938,-26.648250
3573107338.781766,4.540640,-26.648790
3573107338.791765,4.541341,-26.649329
3573107338.801766,4.542043,-26.649868
3573107338.811766,4.542745,-26.650407
3573107338.821767,4.543447,-26.650946
3573107338.831767,4.544150,-26.651484
3573107338.841766,4.544852,-26.652022
3573107338.851767,4.545555,-26.652560
3573107338.861767,4.546257,-26.653098
3573107338.871768,4.546960,-26.653636
3573107338.881770,4.547663,-26.654173
3573107338.891768,4.548367,-26.654710
3573107338.901769,4.549070,-26.655247
3573107338.911769,4.549773,-26.655783
3573107338.921769,4.550477,-26.656320
3573107338.931769,4.551181,-26.656856
3573107338.941771,4.551885,-26.657392
3573107338.951770,4.552589,-26.657927
3573107338.961770,4.553293,-26.658463
3573107338.971770,4.553998,-26.658998
3573107338.981771,4.554702,-26.659533
3573107338.991771,4.555407,-26.660068
3573107339.001772,4.556112,-26.660602
3573107339.011773,4.556817,-26.661136
3573107339.021772,4.557522,-26.661670
3573107339.031773,4.558228,-26.662204
3573107339.041771,4.558933,-26.662738
3573107339.051772,4.559639,-26.663271
3573107339.061774,4.560345,-26.663804
3573107339.071774,4.561051,-26.664337
3573107339.081774,4.561757,-26.664870
3573107339.091774,4.562463,-26.665402
3573107339.101774,4.563169,-26.665935
3573107339.111774,4.563876,-26.666467
3573107339.121776,4.564583,-26.666998
3573107339.131775,4.565290,-26.667530
3573107339.141775,4.565997,-26.668061
3573107339.151776,4.566704,-26.668592
3573107339.161776,4.567411,-26.669123
3573107339.171776,4.568119,-26.669654
3573107339.181777,4.568826,-26.670184
3573107339.191777,4.569534,-26.670714
3573107339.201776,4.570242,-26.671244
3573107339.211778,4.570950,-26.671774
3573107339.221777,4.571658,-26.672304
3573107339.231778,4.572367,-26.672833
3573107339.241780,4.573075,-26.673362
3573107339.251779,4.573784,-26.673891
3573107339.261779,4.574493,-26.674419
3573107339.271779,4.575202,-26.674948
3573107339.281780,4.575911,-26.675476
3573107339.291779,4.576621,-26.676004
3573107339.301780,4.577330,-26.676531
3573107339.311780,4.578040,-26.677059
3573107339.321780,4.578749,-26.677586
3573107339.331780,4.579459,-26.678113
3573107339.341780,4.580170,-26.678640
3573107339.351780,4.580880,-26.679166
3573107339.361783,4.581590,-26.679693
3573107339.371782,4.582301,-26.680219
3573107339.381782,4.583011,-26.680745
3573107339.391782,4.583722,-26.681270
3573107339.401783,4.584433,-26.681796
3573107339.411783,4.585145,-26.682321
3573107339.421784,4.585856,-26.682846
3573107339.431783,4.586567,-26.683371
3573107339.441782,4.587279,-26.683895
3573107339.451783,4.587991,-26.684420
3573107339.461784,4.588703,-26.684944
3573107339.471785,4.589415,-26.685467
3573107339.481785,4.590127,-26.685991
3573107339.491786,4.590839,-26.686514
3573107339.501785,4.591552,-26.687038
3573107339.511786,4.592265,-26.687560
3573107339.521786,4.592977,-26.688083
3573107339.531787,4.593690,-26.688606
3573107339.541787,4.594404,-26.689128
3573107339.551787,4.595117,-26.689650
3573107339.561787,4.595830,-26.690172
3573107339.571787,4.596544,-26.690693
3573107339.581788,4.597258,-26.691215
3573107339.591788,4.597972,-26.691736
3573107339.601790,4.598686,-26.692257
3573107339.611789,4.599400,-26.692777
3573107339.621788,4.600114,-26.693298
3573107339.631790,4.600829,-26.693818
3573107339.641789,4.601543,-26.694338
3573107339.651790,4.602258,-26.694858
3573107339.661791,4.602973,-26.695377
3573107339.671791,4.603688,-26.695897
3573107339.681791,4.604404,-26.696416
3573107339.691790,4.605119,-26.696935
3573107339.701791,4.605835,-26.697453
3573107339.711792,4.606550,-26.697972
3573107339.721793,4.607266,-26.698490
3573107339.731791,4.607982,-26.699008
3573107339.741792,4.608698,-26.699525
3573107339.751792,4.609415,-26.700043
3573107339.761794,4.610131,-26.700560
3573107339.771793,4.610848,-26.701077
3573107339.781795,4.611565,-26.701594
3573107339.791793,4.612282,-26.702111
3573107339.801794,4.612999,-26.702627
3573107339.811794,4.613716,-26.703143
3573107339.821794,4.614433,-26.703659
3573107339.831795,4.615151,-26.704175
3573107339.841796,4.615868,-26.704691
3573107339.851796,4.616586,-26.705206
3573107339.861796,4.617304,-26.705721
3573107339.871796,4.618022,-26.706236
3573107339.881796,4.618741,-26.706750
3573107339.891797,4.619459,-26.707265
3573107339.901798,4.620178,-26.707779
3573107339.911797,4.620897,-26.708293
3573107339.921798,4.621615,-26.708806
3573107339.931798,4.622335,-26.709320
3573107339.941796,4.623054,-26.709833
3573107339.951798,4.623773,-26.710346
3573107339.961800,4.624493,-26.710859
3573107339.971799,4.625212,-26.711371
3573107339.981799,4.625932,-26.711884
3573107339.991799,4.626652,-26.712396
3573107340.001799,4.627372,-26.712908
3573107340.011800,4.628092,-26.713420
3573107340.021801,4.628813,-26.713931
3573107340.031802,4.629533,-26.714442
3573107340.041800,4.630254,-26.714953
3573107340.051801,4.630975,-26.715464
3573107340.061801,4.631696,-26.715975
3573107340.071801,4.632417,-26.716485
