Absolute Time,u_hat,u_true,y_hat,y_m,y-error
3571895535.881181,0.000773,-0.000375,-19.671496,-20.149251,-0.477756
3571895535.891180,0.000643,-0.000375,-19.676329,-20.149251,-0.472922
3571895535.901180,0.000514,-0.000375,-19.681116,-20.149251,-0.468135
3571895535.911181,0.000387,-0.000375,-19.685856,-20.149251,-0.463396
3571895535.921181,0.000260,-0.000374,-19.690550,-20.149251,-0.458702
3571895535.931180,0.000135,-0.000374,-19.695198,-19.751799,-0.056602
3571895535.941181,0.000012,-0.000374,-19.699800,-19.751799,-0.051999
3571895535.951182,0.000169,-0.000374,-19.700385,-19.751799,-0.051414
3571895535.961183,0.000327,-0.000374,-19.700926,-19.751799,-0.050873
3571895535.971183,0.000484,-0.000374,-19.701459,-19.751799,-0.050340
3571895535.981183,0.000638,-0.000373,-19.701987,-19.751799,-0.049812
3571895535.991183,0.000791,-0.000373,-19.702508,-19.751799,-0.049291
3571895536.001183,0.000943,-0.000373,-19.703023,-19.751799,-0.048777
3571895536.011183,0.001093,-0.000373,-19.703531,-19.751799,-0.048268
3571895536.021184,0.001241,-0.000373,-19.704033,-19.751799,-0.047766
3571895536.031184,0.001388,-0.000373,-19.704529,-20.155628,-0.451099
3571895536.041185,0.001533,-0.000373,-19.705018,-20.155628,-0.450610
3571895536.051185,0.001260,-0.000372,-19.709516,-20.155628,-0.446112
3571895536.061185,0.000987,-0.000372,-19.714007,-20.155628,-0.441621
3571895536.071185,0.000717,-0.000372,-19.718456,-20.155628,-0.437172
3571895536.081186,0.000450,-0.000372,-19.722863,-20.155628,-0.432765
3571895536.091186,0.000186,-0.000372,-19.727228,-20.155628,-0.428400
3571895536.101186,-0.000076,-0.000372,-19.731551,-20.155628,-0.424077
3571895536.111186,-0.000334,-0.000372,-19.735834,-20.155628,-0.419794
3571895536.121186,-0.000591,-0.000371,-19.740075,-20.155628,-0.415553
3571895536.131187,-0.000844,-0.000371,-19.744277,-19.724963,0.019314
3571895536.141188,-0.001095,-0.000371,-19.748438,-19.724963,0.023476
3571895536.151187,-0.001045,-0.000371,-19.748255,-19.724963,0.023292
3571895536.161188,-0.000992,-0.000371,-19.748031,-19.724963,0.023068
3571895536.171188,-0.000940,-0.000371,-19.747809,-19.724963,0.022846
3571895536.181189,-0.000888,-0.000371,-19.747589,-19.724963,0.022626
3571895536.191188,-0.000837,-0.000370,-19.747371,-19.724963,0.022408
3571895536.201190,-0.000787,-0.000370,-19.747154,-19.724963,0.022191
3571895536.211189,-0.000737,-0.000370,-19.746939,-19.724963,0.021977
3571895536.221187,-0.000687,-0.000370,-19.746727,-19.724963,0.021764
3571895536.231190,-0.000638,-0.000370,-19.746516,-19.402522,0.343993
3571895536.241190,-0.000590,-0.000370,-19.746306,-19.402522,0.343784
3571895536.251191,-0.000481,-0.000370,-19.742874,-19.402522,0.340352
3571895536.261189,-0.000372,-0.000369,-19.739443,-19.402522,0.336921
3571895536.271192,-0.000265,-0.000369,-19.736045,-19.402522,0.333522
3571895536.281191,-0.000158,-0.000369,-19.732679,-19.402522,0.330157
3571895536.291190,-0.000053,-0.000369,-19.729345,-19.402522,0.326823
3571895536.301192,0.000051,-0.000369,-19.726044,-19.402522,0.323522
3571895536.311193,0.000154,-0.000369,-19.722774,-19.402522,0.320252
3571895536.321192,0.000256,-0.000369,-19.719535,-19.402522,0.317013
3571895536.331192,0.000357,-0.000368,-19.716328,-20.140747,-0.424418
3571895536.341193,0.000457,-0.000368,-19.713151,-20.140747,-0.427595
3571895536.351192,0.000292,-0.000368,-19.717377,-20.140747,-0.423369
3571895536.361193,0.000129,-0.000368,-19.721632,-20.140747,-0.419114
3571895536.371194,-0.000032,-0.000368,-19.725847,-20.140747,-0.414900
3571895536.381193,-0.000191,-0.000368,-19.730021,-20.140747,-0.410726
3571895536.391193,-0.000349,-0.000368,-19.734155,-20.140747,-0.406592
3571895536.401193,-0.000505,-0.000367,-19.738249,-20.140747,-0.402497
3571895536.411195,-0.000660,-0.000367,-19.742304,-20.140747,-0.398442
3571895536.421194,-0.000813,-0.000367,-19.746320,-20.140747,-0.394426
3571895536.431195,-0.000964,-0.000367,-19.750297,-20.202543,-0.452246
3571895536.441196,-0.001114,-0.000367,-19.754236,-20.202543,-0.448307
3571895536.451196,-0.001305,-0.000367,-19.758761,-20.202543,-0.443782
3571895536.461196,-0.001495,-0.000367,-19.763248,-20.202543,-0.439295
3571895536.471195,-0.001682,-0.000366,-19.767693,-20.202543,-0.434851
3571895536.481196,-0.001868,-0.000366,-19.772094,-20.202543,-0.430449
3571895536.491196,-0.002051,-0.000366,-19.776454,-20.202543,-0.426089
3571895536.501196,-0.002233,-0.000366,-19.780772,-20.202543,-0.421771
3571895536.511196,-0.002413,-0.000366,-19.785049,-20.202543,-0.417494
3571895536.521197,-0.002590,-0.000366,-19.789285,-20.202543,-0.413259
3571895536.531198,-0.002766,-0.000366,-19.793480,-19.538069,0.255411
3571895536.541198,-0.002940,-0.000365,-19.797636,-19.538069,0.259566
3571895536.551198,-0.002806,-0.000365,-19.795099,-19.538069,0.257030
3571895536.561198,-0.002671,-0.000365,-19.792523,-19.538069,0.254454
3571895536.571199,-0.002537,-0.000365,-19.789971,-19.538069,0.251902
3571895536.581199,-0.002405,-0.000365,-19.787443,-19.538069,0.249374
3571895536.591199,-0.002274,-0.000365,-19.784940,-19.538069,0.246870
3571895536.601200,-0.002144,-0.000365,-19.782459,-19.538069,0.244390
3571895536.611200,-0.002016,-0.000364,-19.780003,-19.538069,0.241934
3571895536.621201,-0.001889,-0.000364,-19.777570,-19.538069,0.239500
3571895536.631200,-0.001763,-0.000364,-19.775159,-19.462436,0.312723
3571895536.641201,-0.001639,-0.000364,-19.772772,-19.462436,0.310335
3571895536.651200,-0.001413,-0.000364,-19.769658,-19.462436,0.307222
3571895536.661202,-0.001189,-0.000364,-19.766567,-19.462436,0.304131
3571895536.671200,-0.000967,-0.000364,-19.763505,-19.462436,0.301069
3571895536.681202,-0.000748,-0.000363,-19.760472,-19.462436,0.298036
3571895536.691202,-0.000531,-0.000363,-19.757468,-19.462436,0.295031
3571895536.701202,-0.000316,-0.000363,-19.754492,-19.462436,0.292055
3571895536.711202,-0.000103,-0.000363,-19.751544,-19.462436,0.289108
3571895536.721202,0.000107,-0.000363,-19.748624,-19.462436,0.286188
3571895536.731203,0.000315,-0.000363,-19.745731,-19.741775,0.003956
3571895536.741203,0.000521,-0.000363,-19.742867,-19.741775,0.001091
3571895536.751204,0.000523,-0.000362,-19.742823,-19.741775,0.001047
3571895536.761204,0.000523,-0.000362,-19.742806,-19.741775,0.001030
3571895536.771203,0.000523,-0.000362,-19.742789,-19.741775,0.001014
3571895536.781204,0.000522,-0.000362,-19.742773,-19.741775,0.000997
3571895536.791203,0.000522,-0.000362,-19.742757,-19.741775,0.000981
3571895536.801205,0.000522,-0.000362,-19.742741,-19.741775,0.000965
3571895536.811205,0.000522,-0.000362,-19.742725,-19.741775,0.000950
3571895536.821206,0.000521,-0.000361,-19.742710,-19.741775,0.000934
3571895536.831205,0.000521,-0.000361,-19.742694,-19.487121,0.255573
3571895536.841206,0.000521,-0.000361,-19.742679,-19.487121,0.255558
3571895536.851206,0.000685,-0.000361,-19.740118,-19.487121,0.252996
3571895536.861206,0.000849,-0.000361,-19.737557,-19.487121,0.250435
3571895536.871207,0.001011,-0.000361,-19.735020,-19.487121,0.247898
3571895536.881207,0.001172,-0.000361,-19.732507,-19.487121,0.245386
3571895536.891207,0.001331,-0.000360,-19.730018,-19.487121,0.242897
3571895536.901207,0.001488,-0.000360,-19.727553,-19.487121,0.240432
3571895536.911208,0.001644,-0.000360,-19.725112,-19.487121,0.237991
3571895536.921208,0.001798,-0.000360,-19.722694,-19.487121,0.235573
3571895536.931209,0.001951,-0.000360,-19.720299,-19.630801,0.089499
3571895536.941209,0.002101,-0.000360,-19.717927,-19.630801,0.087126
3571895536.951209,0.002245,-0.000360,-19.717015,-19.630801,0.086214
3571895536.961208,0.002388,-0.000359,-19.716125,-19.630801,0.085325
3571895536.971209,0.002529,-0.000359,-19.715244,-19.630801,0.084443
3571895536.981210,0.002669,-0.000359,-19.714371,-19.630801,0.083570
