Absolute Time,u_hat,u_true,psi_error,psi_hat,psi_m
3571895056.578464,-0.011222,-0.007717,0.000008,0.124764,0.124773
3571895056.588464,-0.011216,-0.007714,0.000008,0.124764,0.124773
3571895056.598465,-0.011209,-0.007711,0.000008,0.124764,0.124773
3571895056.608465,-0.011202,-0.007708,0.000008,0.124764,0.124773
3571895056.618466,-0.011196,-0.007705,0.000008,0.124765,0.124773
3571895056.628466,-0.011189,-0.007702,0.000008,0.124765,0.124773
3571895056.638465,-0.011182,-0.007699,0.000008,0.124765,0.124773
3571895056.648466,-0.011175,-0.007696,0.000008,0.124765,0.124773
3571895056.658467,-0.011169,-0.007693,0.000008,0.124765,0.124773
3571895056.668467,-0.011162,-0.007690,0.000008,0.124765,0.124773
3571895056.678467,-0.011155,-0.007687,0.000008,0.124765,0.124773
3571895056.688467,-0.011149,-0.007684,0.000008,0.124765,0.124773
3571895056.698467,-0.011142,-0.007681,0.000008,0.124765,0.124773
3571895056.708467,-0.011135,-0.007678,0.000008,0.124765,0.124773
3571895056.718468,-0.011128,-0.007674,0.000008,0.124765,0.124773
3571895056.728468,-0.011122,-0.007671,0.000007,0.124765,0.124773
3571895056.738469,-0.011115,-0.007668,0.000007,0.124765,0.124773
3571895056.748469,-0.011108,-0.007665,0.000007,0.124765,0.124773
3571895056.758469,-0.011102,-0.007662,0.000007,0.124765,0.124773
3571895056.768469,-0.011095,-0.007659,0.000007,0.124765,0.124773
3571895056.778469,-0.011088,-0.007656,0.000007,0.124765,0.124773
3571895056.788470,-0.011082,-0.007653,0.000007,0.124766,0.124773
3571895056.798470,-0.011075,-0.007650,0.000007,0.124766,0.124773
3571895056.808471,-0.011069,-0.007647,0.000007,0.124766,0.124773
3571895056.818470,-0.011062,-0.007644,0.000007,0.124766,0.124773
3571895056.828471,-0.011055,-0.007641,0.000007,0.124766,0.124773
3571895056.838471,-0.011049,-0.007638,0.000007,0.124766,0.124773
3571895056.848472,-0.011042,-0.007635,0.000007,0.124766,0.124773
3571895056.858473,-0.011035,-0.007632,0.000007,0.124766,0.124773
3571895056.868473,-0.011029,-0.007629,0.000007,0.124766,0.124773
3571895056.878472,-0.011022,-0.007626,0.000007,0.124766,0.124773
3571895056.888474,-0.011016,-0.007624,0.000007,0.124766,0.124773
3571895056.898473,-0.011009,-0.007621,0.000007,0.124766,0.124773
3571895056.908473,-0.011002,-0.007618,0.000007,0.124766,0.124773
3571895056.918474,-0.010996,-0.007615,0.000007,0.124766,0.124773
3571895056.928474,-0.010989,-0.007612,0.000006,0.124766,0.124773
3571895056.938473,-0.010983,-0.007609,0.000006,0.124766,0.124773
3571895056.948474,-0.010976,-0.007606,0.000006,0.124766,0.124773
3571895056.958475,-0.010970,-0.007603,0.000006,0.124767,0.124773
3571895056.968475,-0.010963,-0.007600,0.000006,0.124767,0.124773
3571895056.978475,-0.010956,-0.007597,0.000006,0.124767,0.124773
3571895056.988476,-0.010950,-0.007594,0.000006,0.124767,0.124773
3571895056.998476,-0.010943,-0.007591,0.000006,0.124767,0.124773
3571895057.008477,-0.010937,-0.007588,0.000006,0.124767,0.124773
3571895057.018475,-0.010930,-0.007585,0.000006,0.124767,0.124773
3571895057.028477,-0.010924,-0.007582,0.000006,0.124767,0.124773
3571895057.038477,-0.010917,-0.007579,0.000006,0.124767,0.124773
3571895057.048476,-0.010911,-0.007576,0.000006,0.124767,0.124773
3571895057.058478,-0.010904,-0.007573,0.000006,0.124767,0.124773
3571895057.068478,-0.010898,-0.007570,0.000006,0.124767,0.124773
3571895057.078477,-0.010891,-0.007567,0.000006,0.124767,0.124773
3571895057.088479,-0.010885,-0.007564,0.000006,0.124767,0.124773
3571895057.098478,-0.010878,-0.007561,0.000006,0.124767,0.124773
3571895057.108479,-0.010872,-0.007558,0.000006,0.124767,0.124773
3571895057.118478,-0.010865,-0.007555,0.000006,0.124767,0.124773
3571895057.128480,-0.010859,-0.007552,0.000006,0.124767,0.124773
3571895057.138480,-0.010852,-0.007549,0.000006,0.124767,0.124773
3571895057.148480,-0.010846,-0.007546,0.000005,0.124768,0.124773
3571895057.158480,-0.010839,-0.007543,0.000005,0.124768,0.124773
3571895057.168480,-0.010833,-0.007540,0.000005,0.124768,0.124773
3571895057.178480,-0.010826,-0.007537,0.000005,0.124768,0.124773
3571895057.188481,-0.010820,-0.007534,0.000005,0.124768,0.124773
3571895057.198481,-0.010814,-0.007531,0.000005,0.124768,0.124773
3571895057.208482,-0.010807,-0.007528,0.000005,0.124768,0.124773
3571895057.218481,-0.010801,-0.007525,0.000005,0.124768,0.124773
3571895057.228482,-0.010794,-0.007523,0.000005,0.124768,0.124773
3571895057.238482,-0.010788,-0.007520,0.000005,0.124768,0.124773
3571895057.248482,-0.010781,-0.007517,0.000005,0.124768,0.124773
3571895057.258483,-0.010775,-0.007514,0.000005,0.124768,0.124773
3571895057.268483,-0.010769,-0.007511,0.000005,0.124768,0.124773
3571895057.278482,-0.010762,-0.007508,0.000005,0.124768,0.124773
3571895057.288484,-0.010756,-0.007505,0.000005,0.124768,0.124773
3571895057.298483,-0.010749,-0.007502,0.000005,0.124768,0.124773
3571895057.308484,-0.010743,-0.007499,0.000005,0.124768,0.124773
3571895057.318484,-0.010737,-0.007496,0.000005,0.124768,0.124773
3571895057.328485,-0.010730,-0.007493,0.000005,0.124768,0.124773
3571895057.338484,-0.010724,-0.007490,0.000005,0.124768,0.124773
3571895057.348488,-0.010717,-0.007487,0.000005,0.124768,0.124773
3571895057.358485,-0.010711,-0.007484,0.000005,0.124769,0.124773
3571895057.368486,-0.010705,-0.007481,0.000005,0.124769,0.124773
3571895057.378485,-0.010698,-0.007478,0.000005,0.124769,0.124773
3571895057.388486,-0.010692,-0.007475,0.000004,0.124769,0.124773
3571895057.398485,-0.010686,-0.007473,0.000004,0.124769,0.124773
3571895057.408487,-0.010679,-0.007470,0.000004,0.124769,0.124773
3571895057.418486,-0.010673,-0.007467,0.000004,0.124769,0.124773
3571895057.428488,-0.010667,-0.007464,0.000004,0.124769,0.124773
3571895057.438488,-0.010660,-0.007461,0.000004,0.124769,0.124773
3571895057.448488,-0.010654,-0.007458,0.000004,0.124769,0.124773
3571895057.458487,-0.010648,-0.007455,0.000004,0.124769,0.124773
3571895057.468488,-0.010641,-0.007452,0.000004,0.124769,0.124773
3571895057.478487,-0.010635,-0.007449,0.000004,0.124769,0.124773
3571895057.488489,-0.010629,-0.007446,0.000004,0.124769,0.124773
3571895057.498488,-0.010622,-0.007443,0.000004,0.124769,0.124773
3571895057.508490,-0.010616,-0.007440,0.000004,0.124769,0.124773
3571895057.518490,-0.010610,-0.007437,0.000004,0.124769,0.124773
3571895057.528490,-0.010604,-0.007435,0.000004,0.124769,0.124773
3571895057.538489,-0.010597,-0.007432,0.000004,0.124769,0.124773
3571895057.548490,-0.010591,-0.007429,0.000004,0.124769,0.124773
3571895057.558490,-0.010585,-0.007426,0.000004,0.124769,0.124773
3571895057.568491,-0.010578,-0.007423,0.000004,0.124769,0.124773
3571895057.578489,-0.010572,-0.007420,0.000004,0.124769,0.124773
3571895057.588491,-0.010566,-0.007417,0.000004,0.124770,0.124773
3571895057.598491,-0.010560,-0.007414,0.000004,0.124770,0.124773
3571895057.608492,-0.010553,-0.007411,0.000004,0.124770,0.124773
3571895057.618492,-0.010547,-0.007408,0.000004,0.124770,0.124773
3571895057.628492,-0.010541,-0.007405,0.000004,0.124770,0.124773
3571895057.638492,-0.010535,-0.007403,0.000004,0.124770,0.124773
3571895057.648493,-0.010529,-0.007400,0.000004,0.124770,0.124773
3571895057.658493,-0.010522,-0.007397,0.000004,0.124770,0.124773
3571895057.668493,-0.010516,-0.007394,0.000004,0.124770,0.124773
3571895057.678493,-0.010510,-0.007391,0.000004,0.124770,0.124773
3571895057.688494,-0.010504,-0.007388,0.000003,0.124770,0.124773
3571895057.698493,-0.010497,-0.007385,0.000003,0.124770,0.124773
3571895057.708495,-0.010491,-0.007382,0.000003,0.124770,0.124773
3571895057.718495,-0.010485,-0.007379,0.000003,0.124770,0.124773
3571895057.728496,-0.010479,-0.007376,0.000003,0.124770,0.124773
