Absolute Time,u_hat,u_true,x_hat,x_m,x-error
3571895398.277532,-0.011951,-0.001698,-13.693045,-13.765805,-0.072760
3571895398.287532,-0.011919,-0.001698,-13.693903,-13.765805,-0.071902
3571895398.297533,-0.011887,-0.001697,-13.694752,-13.765805,-0.071053
3571895398.307532,-0.011855,-0.001696,-13.695591,-13.765805,-0.070213
3571895398.317534,-0.011823,-0.001696,-13.696422,-13.765805,-0.069383
3571895398.327533,-0.011792,-0.001695,-13.697244,-13.618160,0.079084
3571895398.337533,-0.011761,-0.001695,-13.698057,-13.618160,0.079897
3571895398.347533,-0.011953,-0.001694,-13.697303,-13.618160,0.079143
3571895398.357534,-0.012146,-0.001693,-13.696541,-13.618160,0.078381
3571895398.367535,-0.012336,-0.001693,-13.695785,-13.618160,0.077624
3571895398.377535,-0.012525,-0.001692,-13.695035,-13.618160,0.076874
3571895398.387534,-0.012712,-0.001691,-13.694290,-13.618160,0.076130
3571895398.397530,-0.012896,-0.001691,-13.693552,-13.618160,0.075392
3571895398.407535,-0.013078,-0.001690,-13.692820,-13.618160,0.074660
3571895398.417536,-0.013259,-0.001689,-13.692093,-13.618160,0.073933
3571895398.427536,-0.013437,-0.001689,-13.691373,-13.968580,-0.277207
3571895398.437537,-0.013613,-0.001688,-13.690658,-13.968580,-0.277922
3571895398.447537,-0.013569,-0.001687,-13.693509,-13.968580,-0.275070
3571895398.457537,-0.013523,-0.001687,-13.696368,-13.968580,-0.272212
3571895398.467536,-0.013478,-0.001686,-13.699197,-13.968580,-0.269383
3571895398.477538,-0.013433,-0.001685,-13.701999,-13.968580,-0.266581
3571895398.487536,-0.013388,-0.001685,-13.704772,-13.968580,-0.263808
3571895398.497533,-0.013343,-0.001684,-13.707517,-13.968580,-0.261063
3571895398.507538,-0.013299,-0.001684,-13.710235,-13.968580,-0.258345
3571895398.517539,-0.013255,-0.001683,-13.712925,-13.968580,-0.255655
3571895398.527538,-0.013212,-0.001682,-13.715589,-14.564013,-0.848424
3571895398.537538,-0.013169,-0.001682,-13.718226,-14.564013,-0.845788
3571895398.547539,-0.013051,-0.001681,-13.726765,-14.564013,-0.837248
3571895398.557539,-0.012935,-0.001680,-13.735278,-14.564013,-0.828735
